channel	rimdac
1	17
2	18
3	18
4	19
5	22
6	19
7	18
8	18
9	17
10	18
11	19
12	21
13	18
14	17
15	19
16	18
17	16
18	19
19	18
20	21
21	20
22	17
23	17
24	18
25	17
26	20
27	17
28	17
29	16
30	20
31	21
32	19
33	18
34	19
35	20
36	21
37	18
38	19
39	18
40	20
41	15
42	20
43	19
44	21
45	19
46	19
47	18
48	19
49	18
50	18
51	18
52	17
53	16
54	17
55	18
56	19
57	16
58	19
59	20
60	18
61	19
62	17
63	17
64	18
65	18
66	19
67	19
68	17
69	20
70	19
71	18
72	20
73	18
74	19
75	18
76	18
77	20
78	15
79	19
80	16
81	19
82	20
83	19
84	22
85	20
86	14
87	19
88	18
89	16
90	18
91	17
92	19
93	20
94	18
95	15
96	19
97	19
98	21
99	19
100	20
101	21
102	16
103	19
104	18
105	21
106	20
107	17
108	19
109	20
110	19
111	20
112	17
113	18
114	19
115	20
116	21
117	18
118	20
119	19
120	21
121	16
122	17
123	20
124	18
125	17
126	19
127	18
